frst_nm,lst_nm,cmpy,mail,addr,zip,date,nation,cc,price,city,lat/lon,text1,price,month
Serena,Carney,Et Associates,senectus.et.netus@habitantmorbitristique.ca,Ap #746-1629 In Road,46493,09-20-19,Suriname,419,$1286.45,Dolembreux,"-77.3342, -10.57667",tortor nibh sit amet orci. Ut sagittis lobortis mauris. Suspendisse,31940,6
Blake,Fletcher,Fringilla Donec Limited,nec.urna@nunc.co.uk,1292 Vitae Avenue,117297,11-04-20,Switzerland,839,$1740.14,Tiltil,"-10.33524, -8.70299",posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede,757528,6
Jennifer,Cox,Suscipit Nonummy Consulting,lorem@velitegetlaoreet.co.uk,Ap #220-6530 Ligula. Street,9979,05-16-21,Andorra,192,$9939.65,Hannut,"64.15855, 79.4872","Aenean egestas hendrerit neque. In ornare sagittis felis. Donec tempor,",787226,8
Giselle,Neal,Odio A Purus Industries,sit.amet@nuncacmattis.co.uk,"P.O. Box 186, 7937 Magnis Road",848944,01-24-21,Nauru,183,$6262.14,Caprino Bergamasco,"29.40255, -45.03859","consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem,",466107,11
Erasmus,Mccarthy,Etiam Associates,ut@vitaeerat.co.uk,3668 Ipsum. Ave,56066,11-27-19,Dominica,295,$8468.94,La Seyne-sur-Mer,"-11.48951, -41.60514","dis parturient montes, nascetur ridiculus mus. Proin vel arcu eu",972963,11
Kaden,Roberts,Dolor Corporation,iaculis.lacus.pede@neque.com,Ap #812-8570 Neque Street,Z1074,10-25-20,Honduras,435,$1517.63,Lusevera,"-45.33143, -157.71497","amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum",770761,9
Malachi,Mullins,Sed Nec Consulting,fermentum.convallis@ac.ca,"P.O. Box 699, 7302 Ullamcorper Street",81880,08-31-20,Malaysia,769,$2512.50,New Quay,"67.42744, -94.1438",nunc sed pede. Cum sociis natoque penatibus et magnis dis,553755,6
Stacy,Kirkland,Vulputate Consulting,et@liberoDonecconsectetuer.edu,341 Vitae St.,EA68 2BW,04-30-21,El Salvador,986,$8232.35,Pitlochry,"-30.3822, -123.90247","vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque",966254,5
Brady,Mckay,Cras Consulting,facilisis@pede.edu,"P.O. Box 553, 1768 Gravida Street",HU6 8RH,06-21-20,Jersey,167,$7158.49,Carovilli,"-43.9313, 142.32986","auctor odio a purus. Duis elementum, dui quis accumsan convallis,",450981,8
Jerry,Boone,Sed Limited,magna@vitae.com,Ap #991-2531 Dolor Avenue,3820,09-29-20,Niue,543,$9652.60,Christchurch,"-26.96843, 122.50201",fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed,474878,9
Akeem,Glover,Mauris Consulting,molestie@afelis.edu,"P.O. Box 302, 5622 Ridiculus St.",526216,05-19-20,Russian Federation,416,$2216.20,Idaho Falls,"23.7214, -120.45772","sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus",803261,4
Gretchen,Mccullough,Arcu Vestibulum Ut PC,purus@dolorsitamet.net,"P.O. Box 203, 665 Lorem. Rd.",WH81 6GA,12-14-19,Slovakia,732,$9932.48,Keith,"-44.47307, -3.75105",Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor,69197,10
Quinn,Sharp,Eget Lacus Company,lectus.pede@nullavulputatedui.org,519-1329 Iaculis Road,07022,05-20-21,Djibouti,326,$7831.00,Zapallar,"-36.58738, -54.58203",mauris a nunc. In at pede. Cras vulputate velit eu,280201,3
